id,itemCode,itemName,category,subcategory,unitOfMeasure,location,trackerGroup,batchControlled,fefoEnabled,minimumStock,maximumStock,reorderLevel,standardShelfLife,manufacturer,supplier,msdsRequired,msdsLink,fifoRequired,remarks,status,createdAt,updatedAt
99d3c5c3-ba14-4bae-9f03-fc9d79f76cb3,QC-001,"Spotcheck SKC-S , Cleaner/Remover",Quality,NDT Cleaner / Remover,Piece,W15-Z03-Cosh-SR02-L02,QC,TRUE,TRUE,12,75,15,60,,,FALSE,,TRUE,,Active,2026-06-13T14:50:08.598Z,2026-06-13T14:50:08.598Z
583f0a6c-c418-473a-b1fc-8a5208e6028b,QC-002,"SKD-S2 , Developer",Quality,NDT Developer,Piece,W15-Z03-Cosh-SR02-L02,QC,TRUE,TRUE,12,75,15,60,,,FALSE,,TRUE,,Active,2026-06-13T14:51:17.037Z,2026-06-13T14:51:17.037Z
e2bcc85c-2822-4994-ac64-7254f6268f50,QC-003,"SKL-SP2, Red Penetrant",Quality,NDT Penetrant,Piece,W15-Z03-Cosh-SR02-L02,QC,TRUE,TRUE,12,75,15,60,,,FALSE,,TRUE,,Active,2026-06-13T14:52:20.636Z,2026-06-13T14:52:20.636Z
48982fb1-61ca-45a6-8cad-789debed2aea,QC-004,"Magnavis WCP-2, White Contrast Paint",Quality,NDT Contrast Paint,Piece,W15-Z03-Cosh-SR03-L02,QC,TRUE,TRUE,12,75,15,60,,,FALSE,,TRUE,,Active,2026-06-13T14:53:31.339Z,2026-06-13T14:53:31.339Z
3e6c9795-6e33-49db-95eb-3865d8ba8aef,QC-005,"Magnavis 7HF, Black Magnetic INK",Quality,MPI Consumable,Piece,W15-Z03-Cosh-SR02-L02,QC,TRUE,TRUE,12,75,15,60,,,FALSE,,TRUE,,Active,2026-06-13T14:54:37.203Z,2026-06-13T14:54:37.203Z
9ec0ce90-38a2-44cd-8023-99a637626849,PPE-006,ESA Safety Helmet,PPE,Safety Helmat ,Piece,W15-Z01-Mat-SR02-L05,PPE,TRUE,FALSE,3,10,3,12,ESA,,FALSE,,FALSE,,Active,2026-06-17T06:29:15.770Z,2026-06-17T06:29:15.770Z
44e9ee7b-31c7-4d80-a788-0b8565c17ae2,PPE-007,"Vaultex Safety Clear Glasses, white lens ",PPE,Safety Glasses ,Piece,W15-Cab06,PPE,TRUE,FALSE,24,60,12,360,Vaultex ,,FALSE,,FALSE,,Active,2026-06-17T06:30:56.102Z,2026-06-18T07:11:00.104Z
f3cfaf17-1461-48b4-9b1a-4c17fb489184,PPE-008,"NE 388, Safe Touch Splash AIRFLEX PU/BK-L Safety Gloves ",PPE,Safety Gloves ,Pair,W15-Z01-Mat-SR02-L04,PPE,TRUE,FALSE,120,960,240,360,AIRFLEX,,FALSE,,FALSE,,Active,2026-06-17T06:33:32.342Z,2026-06-18T06:45:36.237Z
b132120d-fab9-4d8a-9ee4-5f8306131778,PPE-009,"NE 388, Safe Touch Splash AIRFLEX PU/BK-XL Safety Gloves ",PPE,Safety Gloves ,Pair,W15-Z01-Mat-SR02-L04,PPE,TRUE,FALSE,120,960,240,360,AIRFLEX,,FALSE,,FALSE,,Active,2026-06-17T06:35:01.757Z,2026-06-18T06:46:03.611Z
6e206599-ec6a-4345-a076-d755d4c514c0,PPE-010,"NE 407, Casting Professional Heating Resistance Gloves ",PPE,Safety Gloves ,Pair,W15-Cab03-PPE,PPE,TRUE,FALSE,3,25,5,360,,,FALSE,,FALSE,,Active,2026-06-18T06:47:44.490Z,2026-06-18T06:47:44.490Z
7d3a1bd2-0cdc-4565-8105-1f7a55a0b319,PPE-011,"EN 388, Port West Inti-Impact Cut Resistance Gloves, Size M 8",PPE,Safety Gloves,Pair,W15-Cab03-PPE,PPE,TRUE,FALSE,3,25,5,360,,,FALSE,,FALSE,,Active,2026-06-18T06:49:06.847Z,2026-06-18T06:55:09.616Z
b16818c3-a3c4-450c-8f2a-d10126ba5e6e,PPE-012,"EN 374, Alphatec Solvex 37-185 Green Chemical Gloves",PPE,Safety Gloves ,Pair,W15-Cab03-PPE,PPE,TRUE,FALSE,5,25,5,360,,,FALSE,,FALSE,,Active,2026-06-18T06:51:08.614Z,2026-06-18T06:51:08.614Z
92751776-aa3e-44c9-9124-02df72ba0660,PPE-013,"EN407, Work Gard Welding and Heating Gloves ",PPE,Safety Gloves ,Pair,W15-Cab03-PPE,PPE,TRUE,FALSE,5,25,5,360,,,FALSE,,FALSE,,Active,2026-06-18T06:53:41.598Z,2026-06-18T06:53:41.598Z
e839ac80-1687-47d2-92f0-887f790cbbd5,PPE-014,"EN 388, Port West Inti-Impact Cut Resistance Gloves, Size M 9",PPE,Safety Gloves ,Pair,W15-Cab03-PPE,PPE,TRUE,FALSE,5,25,5,360,,,FALSE,,FALSE,,Active,2026-06-18T06:55:45.374Z,2026-06-18T06:55:45.374Z
957f4cdc-beac-42ee-81f2-ac0b7bb57445,PPE-015,"EN 388, Port West Inti-Impact Cut Resistance Gloves, Size XL 10",PPE,Safety Gloves ,Pair,W15-Cab03-PPE,PPE,TRUE,FALSE,5,25,5,360,,,FALSE,,FALSE,,Active,2026-06-18T06:56:42.506Z,2026-06-18T06:56:42.506Z
908958fc-71b7-485f-ba87-e26af00021bc,PPE-016,NE 3884 PVC 3121Xits Splash and Hazardous Gloves,PPE,Safety Gloves ,Pair,W15-Cab03-PPE,PPE,TRUE,FALSE,3,25,5,360,,,FALSE,,FALSE,,Active,2026-06-18T07:10:05.865Z,2026-06-18T07:10:05.865Z
d1c184a8-4585-4609-a339-f335087bcd5c,PPE-017,"Vaultex Black Safety Glasses, blue lens ",PPE,Safety Glasses ,Piece,W15-Cab06-PPE,PPE,TRUE,FALSE,12,60,6,360,,,FALSE,,FALSE,,Active,2026-06-18T07:11:52.332Z,2026-06-18T07:11:52.332Z
925d4e36-ff12-4f1f-92ad-ea653c0e6340,PPE-018,Fire retardant coverall - small size (38),PPE,Coverall,Piece,W15-Cab05-Coverall,PPE,TRUE,FALSE,5,50,5,360,Imperial,,FALSE,,FALSE,,Active,2026-06-18T07:13:19.086Z,2026-06-18T09:19:29.272Z
61128bb8-729a-4c91-8fd1-2800e591a4ce,PPE-019,Fire retardant coverall - medium size (40),PPE,Coverall,Piece,W15-Cab05-Coverall,PPE,TRUE,FALSE,5,50,5,360,Imperial ,,FALSE,,FALSE,,Active,2026-06-18T07:14:33.904Z,2026-06-18T07:14:33.904Z
7e3189ed-d426-4a95-b104-6d8fcf79d8b0,PPE-020,Fire retardant coverall - Large size (42),PPE,Coverall,Piece,W15-Cab05-Coverall,PPE,TRUE,FALSE,5,50,5,360,Imperial ,,FALSE,,FALSE,,Active,2026-06-18T07:15:24.746Z,2026-06-18T07:15:24.746Z
058f322a-93e1-4f4a-a557-53bb224b7057,PPE-021,Fire retardant coverall - XL size (44),PPE,Coverall,Piece,W15-Cab02-Coverall,PPE,TRUE,FALSE,5,50,5,360,Imperial ,,FALSE,,FALSE,,Active,2026-06-18T07:17:03.646Z,2026-06-18T07:17:03.646Z
38c05861-de55-4b93-9530-e95af9434430,PPE-022,Fire retardant coverall - 2XL size (46),PPE,Coverall,Piece,W15-Cab02-Coverall,PPE,TRUE,FALSE,5,50,5,360,Imperial ,,FALSE,,FALSE,,Active,2026-06-18T07:18:35.145Z,2026-06-18T07:18:35.145Z
35f35942-aaf2-4312-ba0a-1a7a7a5b35d1,PPE-023,Fire retardant coverall - 3XL size (48),PPE,Coverall,Piece,W15-Cab02-Coverall,PPE,TRUE,FALSE,5,50,5,360,Imperial ,,FALSE,,FALSE,,Active,2026-06-18T07:19:40.798Z,2026-06-18T07:19:40.798Z
869c40e3-6bd7-47d2-ace9-9f9f95fbf2db,PPE-024,Fire retardant coverall - 4XL size (50),PPE,Coverall,Piece,W15-Cab02-Coverall,PPE,TRUE,FALSE,5,50,5,360,Imperial ,,FALSE,,FALSE,,Active,2026-06-18T07:20:21.101Z,2026-06-18T07:20:21.101Z
8b893c4f-1d6c-4a90-9f8e-a17eb4461a0c,PPE-025,"EN 388, Stief General Use, Gray",PPE,Safety Gloves ,Pair,W15-Cab03-PPE,PPE,TRUE,FALSE,5,25,5,360,,,FALSE,,FALSE,,Active,2026-06-18T07:22:32.526Z,2026-06-18T07:28:30.509Z
dda69133-5ebc-4284-b177-bd4ab1c92e73,PPE-026,"EN 388, Port West Fingerless Gloves ",PPE,Safety Gloves ,Pair,W15-Cab03-PPE,PPE,TRUE,FALSE,3,15,4,360,,,FALSE,,FALSE,,Active,2026-06-18T07:23:43.730Z,2026-06-18T07:23:43.730Z
ec4ecf62-06d7-4ad4-bdd4-0d69051ac796,PPE-027,"EN 388, SATIF Anti-Vibration Gloves ",PPE,Safety Gloves ,Pair,W15-Cab03-PPE,PPE,TRUE,FALSE,3,15,4,360,,,FALSE,,FALSE,,Active,2026-06-18T07:26:09.446Z,2026-06-18T07:26:09.446Z
2625521f-65cb-405b-a9de-a4621e27f79d,PPE-028,"EN 388, STEIF Work Garud General Use Gloves, Yellow ",PPE,Safety Gloves ,Piece,W15-Cab03-PPE,PPE,TRUE,FALSE,3,15,4,360,,,FALSE,,FALSE,,Active,2026-06-18T07:27:56.446Z,2026-06-18T07:27:56.446Z
856577f3-7714-4dae-b2f8-c74aec357333,PPE-029,"EN 407, ESAB GL 124 Welding Gloves ",PPE,Safety Hand ,Pair,W15-Cab03-PPE,PPE,TRUE,FALSE,3,10,3,360,,,FALSE,,FALSE,,Active,2026-06-18T07:29:42.523Z,2026-06-18T07:29:42.523Z
753a30b1-4ade-4ac2-a419-fc930f20d833,PPE-030,Safety shoes size 40 / Panda,PPE,Safety Shoes,Pair,Safety shoes size 40 / Panda,PPE,TRUE,FALSE,5,25,3,360,Panda / Italy,,FALSE,,FALSE,,Active,2026-06-18T07:47:18.775Z,2026-06-18T07:47:18.775Z
d28d9cba-e962-4708-b1ef-eee2de50ae65,PPE-031,Safety shoes size 41 / Panda,PPE,Safety Shoes,Pair,W15-Z01-Con-SR02-L02,PPE,TRUE,FALSE,5,25,5,360,Panda / Italy,,FALSE,,FALSE,,Active,2026-06-18T07:48:22.174Z,2026-06-18T07:48:22.174Z
171f5dc6-eb39-4b1d-93e7-7ed3db10c62e,PPE-032,Safety shoes size 42 / Panda,PPE,Safety Shoes ,Pair,W15-Z01-Con-SR02-L02,PPE,TRUE,FALSE,5,25,5,360,,,FALSE,,FALSE,,Active,2026-06-18T08:42:10.507Z,2026-06-18T08:42:10.507Z
7789a75f-c7be-48d5-b87e-481075e8b1d2,PPE-033,Safety shoes size 43 / Panda,PPE,Safety Shoes ,Pair,W15-Z01-Con-SR02-L01,PPE,TRUE,FALSE,5,25,3,360,Panda / Italy,,FALSE,,FALSE,,Active,2026-06-18T08:43:34.102Z,2026-06-18T08:43:34.102Z
34bdde58-9846-47d6-ac0a-0c0b40118aad,PPE-034,Safety shoes size 44 / Panda,PPE,Safety Shoes ,Pair,W15-Z01-Con-SR02-L01,PPE,TRUE,FALSE,5,25,3,360,Panda /Italy,,FALSE,,FALSE,,Active,2026-06-18T08:44:34.051Z,2026-06-18T08:44:34.051Z
b7780418-f3f1-4889-a2b3-1b9e39554c06,PPE-035,Safety shoes size 45 / Panda,PPE,Safety Shoes,Pair,W15-Z01-Con-SR02-L01,PPE,TRUE,FALSE,5,25,3,360,Panda / Italy,,FALSE,,FALSE,,Active,2026-06-18T08:45:54.592Z,2026-06-18T08:45:54.592Z
cb48034f-4f2a-4d16-975d-8426326d1e60,PPE-036,Safety shoes size 46 / Panda,PPE,Safety Shoes,Pair,W15-Z01-Con-SR02-L01,PPE,TRUE,FALSE,5,25,3,360,Panda / Itay,,FALSE,,FALSE,,Active,2026-06-18T08:46:55.614Z,2026-06-18T08:46:55.614Z
45a26331-6ff7-4904-a4d9-5e000b002bec,PPE-037,Safety shoes size 47 / Panda,PPE,Safety Shoes ,Pair,W15-Z01-Con-SR02-L01,PPE,TRUE,FALSE,5,25,3,360,Panda / Italy ,,FALSE,,FALSE,,Active,2026-06-18T08:47:59.030Z,2026-06-18T08:47:59.030Z
45befbd2-78ed-49e8-b04f-6a2906e82aa5,PPE-038,Safety shoes size 45 / Giasco,PPE,Safety Shoes,Pair,W15-Z01-Con-SR02-L01,PPE,TRUE,FALSE,3,15,2,360,Giasco / Italy ,,FALSE,,FALSE,,Active,2026-06-18T08:50:06.017Z,2026-06-18T08:50:06.017Z
e17f6e56-22ef-4b94-b4cd-a8c50d87bead,PPE-039,Safety shoes size 46 / Giasco ,PPE,Safety Shoes ,Pair,W15-Z01-Con-SR02-L01,PPE,TRUE,FALSE,3,15,2,360,Giasco / Italy ,,FALSE,,FALSE,,Active,2026-06-18T08:51:27.205Z,2026-06-18T08:51:27.205Z
64a8224c-e722-43ae-b00e-b30dfbbd8869,PPE-040,Safety shoes size 47 /Giasco ,PPE,Safety Shoes ,Pair,W15-Z01-Con-SR02-L01,PPE,TRUE,FALSE,3,15,2,360,Gisaco / ITaly ,,FALSE,,FALSE,,Active,2026-06-18T08:53:03.424Z,2026-06-18T08:53:03.424Z
e7f9df82-45ce-4daa-bc1b-b214e04ef74b,PPE-041,Face Sheild Protaction ,PPE,Safety Face Protection ,Piece,W15-Cab03-PPE,,TRUE,FALSE,10,50,10,360,,,FALSE,,FALSE,,Active,2026-06-18T09:21:34.682Z,2026-06-18T09:21:34.682Z
c8c7b0eb-2cca-4298-98d1-83dfd77cae9d,PPE-042,"Ntco ,Disposable Nitrile Gloves, L Carton (100 Pair)",PPE,Disposable Gloves,Box(100),W15-Z01-Con-SR02-L04,,TRUE,FALSE,5,50,6,360,,,FALSE,,FALSE,,Active,2026-06-18T09:23:47.564Z,2026-06-18T09:23:47.564Z
7e2dd2b7-a22d-42a2-91fd-987b961fb529,CON-043,Disposable White Coverall ,Consumable,Coverall,Piece,W15-Cab06-Coverall,,TRUE,FALSE,5,50,6,360,,,FALSE,,FALSE,,Active,2026-06-18T09:25:19.708Z,2026-06-18T09:25:19.708Z
7bb71f92-ce13-4b00-b016-c717faae9457,HSE-044,Caution Tape Red MTR,HSE,Safety ,Roll,W15-Cab03-PPE,,TRUE,FALSE,2,10,2,360,,,FALSE,,FALSE,,Active,2026-06-18T09:26:57.207Z,2026-06-18T09:26:57.207Z
88f0f77d-8ce6-4024-847c-5f4c48f257d0,HSE-045,Caution Tape Yellow MTR,HSE,HSE Signage / Barricade,Roll,W15-Cab03-PPE,,TRUE,FALSE,3,10,2,360,,,FALSE,,FALSE,,Active,2026-06-18T09:39:34.983Z,2026-06-18T09:39:34.983Z
13f167b9-1097-4949-b1c2-ffc602e267be,PPE-046,Do Not Inter Tape Red MTR,PPE,HSE Signage / Barricade,Roll,W15-Cab03-PPE,,TRUE,FALSE,2,10,-1,360,,,FALSE,,FALSE,,Active,2026-06-18T09:40:17.256Z,2026-06-18T09:40:17.256Z
634d09ab-fcf1-4f8f-b3dc-0ebe66ba4099,PPE-047,Arporn Vest Orange ,PPE,Body Protection ,Piece,W15-Cab03-PPE,,TRUE,FALSE,3,15,4,360,,,FALSE,,FALSE,,Active,2026-06-18T09:41:29.276Z,2026-06-18T09:41:29.276Z
776cd755-778d-49da-ba62-9c4c8b2b2855,PPE-048,Arporn Vest Green ,PPE,Body Protection ,Piece,W15-Cab03-PPE,,TRUE,FALSE,3,15,3,360,,,FALSE,,FALSE,,Active,2026-06-18T09:42:15.437Z,2026-06-18T09:42:15.437Z
67678e88-3031-4c97-bb2a-135104da621e,PPE-049,Emergency First Aid Kit,PPE,First Aid / Emergency,Piece,W15-Z01-Con-SR02-L03,PPE,TRUE,FALSE,2,10,2,360,,,FALSE,,FALSE,,Active,2026-06-18T09:43:24.216Z,2026-06-18T09:43:24.216Z
309e6793-4572-490b-9e5b-d701412eabc7,PPE-050,Eye Wash Bottle ,PPE,First Aid / Emergency,Piece,W15-Z01-Con_SR02-L03,PPE,TRUE,FALSE,3,25,5,360,,,FALSE,,FALSE,,Active,2026-06-18T09:44:48.438Z,2026-06-18T09:44:48.438Z
74f4dc2f-119d-4332-a3c0-a0ec0a798791,ELE-051,Siren ,Electrical,HSE Alarm ,Piece,W15-Z02-Con-SR04-L01,,TRUE,FALSE,1,6,2,360,,,FALSE,,FALSE,,Active,2026-06-18T09:49:16.114Z,2026-06-18T09:49:16.114Z
